year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,release_date,user_reviews,critic_reviews,popularity,awards_wins,awards_nominations,Oscar_Best_Picture_won,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Director_nominated,Oscar_Best_Actor_won,Oscar_Best_Actor_nominated,Oscar_Best_Actress_won,Oscar_Best_Actress_nominated,Oscar_Best_Supporting_Actor_won,Oscar_Best_Supporting_Actor_nominated,Oscar_Best_Supporting_Actress_won,Oscar_Best_Supporting_Actress_nominated,Oscar_Best_AdaScreen_won,Oscar_Best_AdaScreen_nominated,Oscar_Best_OriScreen_won,Oscar_Best_OriScreen_nominated,Oscar_nominated,Oscar_nominated_categories,Golden_Globes_won,Golden_Globes_won_categories,Golden_Globes_nominated,Golden_Globes_nominated_categories,BAFTA_won,BAFTA_won_categories,BAFTA_nominated,BAFTA_nominated_categories,Screen_Actors_Guild_won,Screen_Actors_Guild_won_categories,Screen_Actors_Guild_nominated,Screen_Actors_Guild_nominated_categories,Critics_Choice_won,Critics_Choice_won_categories,Critics_Choice_nominated,Critics_Choice_nominated_categories,Directors_Guild_won,Directors_Guild_won_categories,Directors_Guild_nominated,Directors_Guild_nominated_categories,Producers_Guild_won,Producers_Guild_won_categories,Producers_Guild_nominated,Producers_Guild_nominated_categories,Art_Directors_Guild_won,Art_Directors_Guild_won_categories,Art_Directors_Guild_nominated,Art_Directors_Guild_nominated_categories,Writers_Guild_won,Writers_Guild_won_categories,Writers_Guild_nominated,Writers_Guild_nominated_categories,Costume_Designers_Guild_won,Costume_Designers_Guild_won_categories,Costume_Designers_Guild_nominated,Costume_Designers_Guild_nominated_categories,Online_Film_Television_Association_won,Online_Film_Television_Association_won_categories,Online_Film_Television_Association_nominated,Online_Film_Television_Association_nominated_categories,Online_Film_Critics_Society_won,Online_Film_Critics_Society_won_categories,Online_Film_Critics_Society_nominated,Online_Film_Critics_Society_nominated_categories,People_Choice_won,People_Choice_won_categories,People_Choice_nominated,People_Choice_nominated_categories,London_Critics_Circle_Film_won,London_Critics_Circle_Film_won_categories,London_Critics_Circle_Film_nominated,London_Critics_Circle_Film_nominated_categories,American_Cinema_Editors_won,American_Cinema_Editors_won_categories,American_Cinema_Editors_nominated,American_Cinema_Editors_nominated_categories,Hollywood_Film_won,Hollywood_Film_won_categories,Hollywood_Film_nominated,Hollywood_Film_nominated_categories,Austin_Film_Critics_Association_won,Austin_Film_Critics_Association_won_categories,Austin_Film_Critics_Association_nominated,Austin_Film_Critics_Association_nominated_categories,Denver_Film_Critics_Society_won,Denver_Film_Critics_Society_won_categories,Denver_Film_Critics_Society_nominated,Denver_Film_Critics_Society_nominated_categories,Boston_Society_of_Film_Critics_won,Boston_Society_of_Film_Critics_won_categories,Boston_Society_of_Film_Critics_nominated,Boston_Society_of_Film_Critics_nominated_categories,New_York_Film_Critics_Circle_won,New_York_Film_Critics_Circle_won_categories,New_York_Film_Critics_Circle_nominated,New_York_Film_Critics_Circle_nominated_categories,Los_Angeles_Film_Critics_Association_won,Los_Angeles_Film_Critics_Association_won_categories,Los_Angeles_Film_Critics_Association_nominated,Los_Angeles_Film_Critics_Association_nominated_categories,release_date.year,release_date.month,release_date.day-of-month,release_date.day-of-week
2004,Dawn of the Dead,tt0363547,R,101,Action|Horror|Thriller,7.4000001,59,"A nurse, a policeman, a young married couple, a salesman, and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",199440,58890000,2004-03-19,1062,286,1575,0,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,Best Makeup and Hairstyling|Best Titles Sequence|Best Official Film Website,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2004,3,19,5
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771,PG,143,Adventure|Family|Fantasy,6.9000001,75,Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,297403,291710000,2005-12-09,1467,282,618,5,16,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3,Best Achievement in Makeup|Best Achievement in Sound Mixing|Best Achievement in Visual Effects,0,,2,Best Original Song - Motion Picture|Best Original Score - Motion Picture,1,Best Make Up/Hair,3,Best Make Up/Hair|Best Costume Design|Best Achievement in Special Visual Effects,0,,0,,1,Best Family Film (Live Action),2,Best Family Film (Live Action)|Best Young Actress,0,,0,,0,,0,,0,,0,,0,,0,,1,Excellence in Fantasy Film,1,Excellence in Fantasy Film,0,,3,Best Voice-Over Performance|Best Youth Performance|Best Makeup and Hairstyling,0,,1,Best Breakthrough Performance,0,,0,,0,,2,British Supporting Actor of the Year|British Supporting Actress of the Year,0,,0,,2,Composer of the Year|Make-Up of the Year,2,Composer of the Year|Make-Up of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2005,12,9,5
2004,Taking Lives,tt0364045,R,103,Crime|Mystery|Thriller,6.19999981,38,An FBI profiler is called in by French Canadian police to catch a serial killer who takes on the identity of each new victim.,66966,32680000,2004-03-19,313,142,1610,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2004,3,19,5
2004,Dodgeball: A True Underdog Story,tt0364725,PG-13,92,Comedy|Sport,6.69999981,55,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,190410,114320000,2004-06-18,393,191,1297,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2004,6,18,5
2005,Syriana,tt0365737,R,128,Drama|Thriller,7.0,76,A politically charged epic about the state of the oil industry in the hands of those personally involved and affected by it.,112008,50820000,2005-12-09,627,356,2877,3,13,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,2,Best Performance by an Actor in a Supporting Role|Best Original Screenplay,1,Best Performance by an Actor in a Supporting Role in a Motion Picture,2,Best Performance by an Actor in a Supporting Role in a Motion Picture|Best Original Score - Motion Picture,0,,1,Best Performance by an Actor in a Supporting Role,0,,1,Outstanding Performance by a Male Actor in a Supporting Role,0,,2,Best Supporting Actor|Best Acting Ensemble,0,,0,,0,,0,,0,,1,Contemporary Film,0,,1,Best Adapted Screenplay,0,,1,Excellence in Contemporary Film,0,,1,Best Supporting Actor,0,,0,,0,,0,,0,,0,,0,,0,,1,Casting Director of the Year,1,Casting Director of the Year,0,,1,Best Film,0,,0,,1,Best Ensemble Cast,1,Best Ensemble Cast,0,,0,,0,,0,,2005,12,9,5
2006,Happy Feet,tt0366548,PG,108,Animation|Comedy|Family,6.5,77,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",138325,197990000,2006-11-17,549,203,2544,4,13,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,Best Animated Feature Film of the Year,1,Best Original Song - Motion Picture,2,Best Original Song - Motion Picture|Best Animated Film,1,Best Animated Feature Film,2,Best Animated Feature Film|Anthony Asquith Award for Film Music,0,,0,,0,,2,Best Soundtrack|Best Animated Feature,0,,0,,0,,1,Outstanding Producer of Animated Theatrical Motion Pictures,0,,0,,0,,0,,0,,0,,0,,3,Best Animated Picture|Best Voice-Over Performance|Best Voice-Over Performance,0,,1,Best Animated Feature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Animated Film,1,Best Animated Film,1,Best Animation,1,Best Animation,2006,11,17,5
2004,Harold & Kumar Go to White Castle,tt0366551,R,88,Adventure|Comedy,7.0999999,64,An Asian-American office worker and his Indian stoner friend embark on a quest to satisfy their desire for White Castle burgers.,158629,18230000,2004-07-30,316,150,1983,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2004,7,30,5
2005,The Squid and the Whale,tt0367089,R,81,Comedy|Drama,7.4000001,82,Follows two young boys dealing with their parents' divorce in Brooklyn in the 1980s.,61824,7360000,2005-12-16,235,122,,7,22,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Best Original Screenplay,0,,3,Best Motion Picture - Comedy or Musical|Best Performance by an Actor in a Motion Picture - Comedy or Musical|Best Performance by an Actress in a Motion Picture - Comedy or Musical,0,,0,,0,,0,,0,,3,Best Young Actor|Best Young Actor|Best Writer,0,,0,,0,,0,,0,,0,,0,,1,Best Original Screenplay,0,,0,,1,Best Youth Performance,5,"Best Youth Performance|Best Breakthrough Performance - Male|Best Ensemble|Best Writing, Screenplay Written Directly for the Screen|Best Music, Adapted Song",1,Best Breakthrough Performance,2,Best Breakthrough Performance|Best Original Screenplay,0,,0,,0,,2,Actor of the Year|Screenwriter of the Year,0,,0,,0,,0,,3,Best Supporting Actress|Best Original Screenplay|Most Promising Filmmaker,4,Best Supporting Actress|Best Original Screenplay|Most Promising Filmmaker|Best Film,0,,0,,0,,0,,1,Best Screenplay,1,Best Screenplay,1,Best Screenplay,1,Best Screenplay,2005,12,16,5
2005,Charlie and the Chocolate Factory,tt0367594,PG,115,Adventure|Comedy|Family,6.69999981,72,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",333750,206460000,2005-07-15,1363,272,607,3,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,Best Achievement in Costume Design,0,,1,Best Performance by an Actor in a Motion Picture - Comedy or Musical,1,,6,Best Production Design|Best Costume Design|Best Achievement in Special Visual Effects|Best Make Up/Hair||Best Feature Film,0,,0,,1,Best Young Actor,2,Best Young Actor|Best Family Film (Live Action),0,,0,,0,,0,,0,,1,Period or Fantasy Film,0,,0,,0,,1,Excellence in Fantasy Film,0,,3,"Best Music, Original Score|Best Production Design|Best Titles Sequence",0,,0,,1,Favorite Family Movie,1,Favorite Family Movie,0,,1,Actor of the Year,0,,1,Best Edited Feature Film - Comedy or Musical,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2005,7,15,5
2008,Indiana Jones and the Kingdom of the Crystal Skull,tt0367882,PG-13,122,Action|Adventure|Fantasy,6.19999981,65,"Famed archaeologist/adventurer Dr. Henry ""Indiana"" Jones is called back into action when he becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.",344036,317010000,2008-05-22,2060,472,660,0,9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,1,Best Special Visual Effects,0,,1,Outstanding Performance by a Stunt Ensemble in a Motion Picture,0,,2,Favorite Film Franchise|Best Action Movie,0,,0,,0,,0,,0,,1,Fantasy Film,0,,0,,0,,0,,0,,1,Best Visual Effects,0,,0,,0,,3,Favorite Movie|Favorite Action Movie|Favorite On-Screen Match-Up,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2008,5,22,4
2003,The Room,tt0368226,R,99,Drama,3.5,,"Johnny is a successful banker who lives happily in a San Francisco townhouse with his fiancée, Lisa. One day, inexplicably, she gets bored of him and decides to seduce Johnny's best friend, Mark. From there, nothing will be the same again.",32502,,2004-03-03,324,70,990,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2004,3,3,3
2004,The Village,tt0368447,PG-13,108,Drama|Mystery|Thriller,6.5,44,A series of events tests the beliefs of a small isolated countryside village.,198455,114200000,2004-07-30,2009,262,442,0,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,"Best Achievement in Music Written for Motion Pictures, Original Score",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Breakthrough Performance - Female,0,,1,Best Breakthrough Performance,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2004,7,30,5
2007,I'm Not There.,tt0368794,R,135,Biography|Drama|Music,7.0,73,"Ruminations on the life of Bob Dylan, where six characters embody a different aspect of the musician's life and work.",49428,4000000,2007-12-07,230,233,3364,2,13,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,1,Best Performance by an Actress in a Supporting Role,1,Best Performance by an Actress in a Supporting Role in a Motion Picture,1,Best Performance by an Actress in a Supporting Role in a Motion Picture,0,,1,Best Supporting Actress,0,,1,Outstanding Performance by a Female Actor in a Supporting Role,0,,1,Best Supporting Actress,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Supporting Actress,2,Best Supporting Actress|Best Youth Performance,0,,1,Best Supporting Actress,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,Best Supporting Actress|Best Ensemble Cast,0,,3,Best Supporting Actress|Best Film|Best Director,0,,1,Best Supporting Actress,2007,12,7,5
2004,National Treasure,tt0368891,PG,131,Action|Adventure|Family,6.9000001,39,A historian races to find the legendary Templar Treasure before a team of mercenaries.,260609,173010000,2004-11-19,696,192,1564,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2004,11,19,5
2004,Collateral,tt0369339,R,120,Crime|Drama|Thriller,7.5999999,71,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,301264,100000000,2004-08-06,840,296,1356,4,23,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,2,Best Performance by an Actor in a Supporting Role|Best Achievement in Film Editing,0,,1,Best Performance by an Actor in a Supporting Role in a Motion Picture,1,Best Cinematography,6,Best Cinematography|Best Screenplay - Original|Best Performance by an Actor in a Supporting Role|Best Editing|Best Sound|,0,,1,Outstanding Performance by a Male Actor in a Supporting Role,0,,2,Best Picture|Best Supporting Actor,0,,0,,0,,0,,0,,1,Contemporary Film,0,,0,,0,,0,,0,,5,Best Director|Best Film Editing|Best Cinematography|Best Sound Mixing|Best Sound Effects Editing,0,,2,Best Supporting Actor|Best Cinematography,0,,1,Favorite Movie Drama,0,,0,,0,,1,Best Edited Feature Film - Dramatic,2,Breakthrough Actor|Director of the Year,2,Breakthrough Actor|Director of the Year,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Cinematography,1,Best Cinematography,2004,8,6,5
2015,Jurassic World,tt0369610,PG-13,124,Action|Adventure|Sci-Fi,7.0,59,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree.",439876,652180000,2015-06-12,1307,652,237,1,12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,1,Outstanding Action Performance by a Stunt Ensemble in a Motion Picture,0,,5,Best Visual Effects|Best Action Movie|Best Actor in an Action Movie|Best Actress in an Action Movie|Best Sci-Fi/Horror Movie,0,,0,,0,,0,,0,,1,Fantasy Film,0,,0,,0,,0,,0,,3,Best Sound Effects Editing|Best Visual Effects|Best Stunt Coordination,0,,0,,0,,1,Favorite Movie,0,,0,,0,,0,,1,Visual Effects of the Year,1,Visual Effects of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2015,6,12,5
2004,The Sea Inside,tt0369702,PG-13,125,Biography|Drama|Romance,8.10000038,74,"The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.",66451,2090000,2005-03-04,140,156,3978,2,5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2,Best Foreign Language Film of the Year|Best Achievement in Makeup,1,Best Foreign Language Film,2,Best Foreign Language Film|Best Performance by an Actor in a Motion Picture - Drama,0,,0,,0,,0,,1,Best Foreign-Language Film,2,Best Foreign-Language Film|Best Actor,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Foreign Language Film of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2005,3,4,5
2004,AVP: Alien vs. Predator,tt0370263,PG-13,101,Action|Horror|Sci-Fi,5.5999999,29,"During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.",147853,80280000,2004-08-13,1288,245,1578,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2004,8,13,5
2004,Spanglish,tt0371246,PG-13,131,Comedy|Drama|Romance,6.4000001,48,"A woman and her daughter emigrate from Mexico for a better life in America, where they start working for a family where the patriarch is a newly celebrated chef with an insecure wife.",67001,42040000,2004-12-17,345,124,1048,0,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,1,Best Original Score - Motion Picture,0,,0,,0,,1,Outstanding Performance by a Female Actor in a Supporting Role,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2004,12,17,5
2005,The Hitchhiker's Guide to the Galaxy,tt0371724,PG,109,Adventure|Comedy|Sci-Fi,6.80000019,63,"Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",159825,51020000,2005-04-29,1057,277,836,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"Best Music, Original Song",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2005,4,29,5
2008,Iron Man,tt0371746,PG-13,126,Action|Adventure|Sci-Fi,7.9000001,79,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",720219,318300000,2008-05-02,1063,489,478,1,13,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2,Best Achievement in Sound Editing|Best Achievement in Visual Effects,0,,0,,0,,1,Best Special Visual Effects,0,,1,Outstanding Performance by a Stunt Ensemble in a Motion Picture,0,,1,Best Action Movie,0,,0,,0,,0,,0,,1,Fantasy Film,0,,0,,0,,1,Excellence in Contemporary Film,0,,4,Best Sound Mixing|Best Sound Effects Editing|Best Visual Effects|Best Titles Sequence,0,,0,,0,,3,Favorite Movie|Favorite Action Movie|Favorite Superhero,0,,0,,0,,0,,1,Visual Effects of the Year,1,Visual Effects of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2008,5,2,5
2004,The Bourne Supremacy,tt0372183,PG-13,108,Action|Mystery|Thriller,7.80000019,73,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",364203,176050000,2004-07-23,815,238,1505,0,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Popular Movie,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Favorite Movie Drama,0,,1,British Director of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2004,7,23,5
2005,The Wedding Date,tt0372532,PG-13,90,Comedy|Romance,6.0999999,32,"Single-girl anxiety causes Kat Ellis (Messing) to hire a male escort (Mulroney) to pose as her boyfriend at her sister's wedding. Her plan, an attempt to dupe her ex-fiancé, who dumped her a couple years prior, proves to be her undoing.",39623,31590000,2005-02-04,252,102,2251,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2005,2,4,5
2005,Batman Begins,tt0372784,PG-13,140,Action|Adventure,8.30000019,70,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from the corruption that Scarecrow and the League of Shadows have cast upon it.",1021111,205340000,2005-06-15,2692,473,323,1,14,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,Best Achievement in Cinematography,0,,0,,0,,3,Best Production Design|Best Sound|Best Achievement in Special Visual Effects,0,,0,,0,,1,Favorite Film Franchise,0,,0,,0,,0,,0,,1,Period or Fantasy Film,0,,0,,0,,1,Excellence in Fantasy Film,0,,2,Best Sound Mixing|Best Sound Effects Editing,0,,1,Best Original Score,0,,2,Favorite Movie|Favorite Movie Drama,0,,2,British Supporting Actor of the Year|British Director of the Year,0,,0,,1,Sound of the Year,1,Sound of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2005,6,15,3
2004,The Chorus,tt0372824,PG-13,97,Drama|Music,7.9000001,56,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.,45823,3630000,2004-03-17,110,112,,0,5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2,"Best Achievement in Music Written for Motion Pictures, Original Song|Best Foreign Language Film of the Year",0,,1,Best Foreign Language Film,0,,3,Anthony Asquith Award for Film Music|Best Screenplay - Adapted|Best Film not in the English Language,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Foreign Language Film of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2004,3,17,3
2005,Kiss Kiss Bang Bang,tt0373469,R,103,Comedy|Crime|Mystery,7.5999999,72,"A murder mystery brings together a private eye, a struggling actress, and a thief masquerading as an actor.",181413,4240000,2005-11-18,338,224,2092,0,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Comedy Movie,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Titles Sequence,0,,0,,0,,0,,0,,1,Screenwriter of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2005,11,18,5
2007,Harry Potter and the Order of the Phoenix,tt0373889,PG-13,138,Adventure|Family|Fantasy,7.5,71,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",373912,292000000,2007-07-11,1114,332,488,1,10,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,2,Best Production Design|Best Special Visual Effects,0,,0,,0,,2,Favorite Film Franchise|Best Family Film,0,,0,,0,,0,,0,,1,Fantasy Film,0,,0,,0,,1,Excellence in Fantasy Film,0,,1,Best Visual Effects,0,,0,,1,Favorite Movie Drama,2,Favorite Move Fan Following|Favorite Movie Drama,0,,1,British Supporting Actress of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2007,7,11,3
2004,Napoleon Dynamite,tt0374900,PG,96,Comedy,6.9000001,64,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",165403,44540000,2004-08-27,1477,220,1334,0,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Popular Movie,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,Best Breakthrough Filmmaker|Best Breakthrough Performance,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2004,8,27,5
2004,Sideways,tt0375063,R,126,Comedy|Drama|Romance,7.5,94,"Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.",153557,71502303,2005-01-21,841,283,2536,30,60,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,5,Best Adapted Screenplay|Best Motion Picture of the Year|Best Performance by an Actor in a Supporting Role|Best Performance by an Actress in a Supporting Role|Best Achievement in Directing,2,Best Screenplay - Motion Picture|Best Motion Picture - Comedy or Musical,7,Best Screenplay - Motion Picture|Best Motion Picture - Comedy or Musical|Best Performance by an Actor in a Motion Picture - Comedy or Musical|Best Performance by an Actor in a Supporting Role in a Motion Picture|Best Performance by an Actress in a Supporting Role in a Motion Picture|Best Director - Motion Picture|Best Original Score - Motion Picture,1,Best Screenplay - Adapted,1,Best Screenplay - Adapted,1,Outstanding Performance by a Cast in a Motion Picture,4,Outstanding Performance by a Cast in a Motion Picture|Outstanding Performance by a Male Actor in a Leading Role|Outstanding Performance by a Male Actor in a Supporting Role|Outstanding Performance by a Female Actor in a Supporting Role,5,Best Picture|Best Supporting Actor|Best Supporting Actress|Best Acting Ensemble|Best Writer,8,Best Picture|Best Supporting Actor|Best Supporting Actress|Best Acting Ensemble|Best Writer|Best Actor|Best Director|Best Composer,0,,1,Outstanding Directorial Achievement in Motion Pictures,0,,1,Outstanding Producer of Theatrical Motion Pictures,0,,0,,1,Best Adapted Screenplay,1,Best Adapted Screenplay,0,,0,,3,"Best Breakthrough Performance - Male|Best Ensemble|Best Writing, Screenplay Based on Material from Another Medium",9,"Best Breakthrough Performance - Male|Best Ensemble|Best Writing, Screenplay Based on Material from Another Medium|Best Picture|Best Actor|Best Supporting Actor|Best Supporting Actress|Best Casting|Best Director",3,Best Actor|Best Supporting Actor|Best Adapted Screenplay,6,Best Actor|Best Supporting Actor|Best Adapted Screenplay|Best Picture|Best Director|Best Supporting Actress,0,,0,,1,Film of the Year,4,Film of the Year|Actor of the Year|Director of the Year|Screenwriter of the Year,0,,1,Best Edited Feature Film - Comedy or Musical,0,,0,,0,,0,,0,,0,,4,Best Film|Best Supporting Actor|Best Ensemble Cast|Best Screenplay,6,Best Film|Best Supporting Actor|Best Ensemble Cast|Best Screenplay|Best Actor|Best Director,4,Best Film|Best Actor|Best Supporting Actress|Best Screenplay,5,Best Film|Best Actor|Best Supporting Actress|Best Screenplay|Best Supporting Actor,5,Best Picture|Best Supporting Actor|Best Supporting Actress|Best Director|Best Screenplay,6,Best Picture|Best Supporting Actor|Best Supporting Actress|Best Director|Best Screenplay|Best Actor,2005,1,21,5
